Date,Open,High,Low,Close
01-Apr-03,,,,834.59
02-Apr-03,,,,851.31
03-Apr-03,,,,864.51
04-Apr-03,,,,885.24
07-Apr-03,,,,911.19
08-Apr-03,,,,910.65
09-Apr-03,,,,905.1
10-Apr-03,,,,881.01
11-Apr-03,,,,882.01
15-Apr-03,,,,885.51
16-Apr-03,,,,885.18
17-Apr-03,,,,880.4
21-Apr-03,,,,889.44
22-Apr-03,,,,891.33
23-Apr-03,,,,888.96
24-Apr-03,,,,886.71
25-Apr-03,,,,882.62
28-Apr-03,,,,890.33
29-Apr-03,,,,893.08
30-Apr-03,,,,893.27
02-May-03,,,,910.91
05-May-03,,,,933.9
06-May-03,,,,938.95
07-May-03,,,,936.14
08-May-03,,,,937.67
09-May-03,,,,943.76
12-May-03,,,,958.44
13-May-03,,,,974.69
14-May-03,,,,994.57
15-May-03,,,,1020.55
16-May-03,,,,1040.57
19-May-03,,,,1030.88
20-May-03,,,,1035.31
21-May-03,,,,1048.58
22-May-03,,,,1054.78
23-May-03,,,,1062.51
26-May-03,,,,1090.94
27-May-03,,,,1079.7
28-May-03,,,,1084.9
29-May-03,,,,1092.54
30-May-03,,,,1110.11
02-Jun-03,,,,1121.73
03-Jun-03,,,,1107.78
04-Jun-03,,,,1130.44
05-Jun-03,,,,1131.85
06-Jun-03,,,,1149.32
09-Jun-03,,,,1178.12
10-Jun-03,,,,1157.11
11-Jun-03,,,,1160
12-Jun-03,,,,1175.63
13-Jun-03,,,,1176.62
16-Jun-03,,,,1184.47
17-Jun-03,,,,1205.03
18-Jun-03,,,,1203.58
19-Jun-03,,,,1206.13
20-Jun-03,,,,1218.52
23-Jun-03,,,,1217.06
24-Jun-03,,,,1232.89
25-Jun-03,,,,1259.13
26-Jun-03,,,,1265.81
27-Jun-03,,,,1280.85
30-Jun-03,,,,1307.34
01-Jul-03,,,,1322.68
02-Jul-03,,,,1360.67
03-Jul-03,,,,1372.22
04-Jul-03,,,,1385.75
07-Jul-03,,,,1428.44
08-Jul-03,,,,1429.02
09-Jul-03,,,,1380.21
10-Jul-03,,,,1378.47
11-Jul-03,,,,1372.77
14-Jul-03,,,,1400
15-Jul-03,,,,1366.3
16-Jul-03,,,,1398.64
17-Jul-03,,,,1378.86
18-Jul-03,,,,1369.47
21-Jul-03,,,,1346.04
22-Jul-03,,,,1330.05
23-Jul-03,,,,1336.91
24-Jul-03,,,,1350.9
25-Jul-03,,,,1375.17
28-Jul-03,,,,1403
29-Jul-03,,,,1414.95
30-Jul-03,,,,1434.16
31-Jul-03,,,,1420.08
01-Aug-03,,,,1426.05
04-Aug-03,,,,1461.29
05-Aug-03,,,,1433.25
06-Aug-03,,,,1428.94
07-Aug-03,,,,1463.96
08-Aug-03,,,,1483.99
11-Aug-03,,,,1501.2
12-Aug-03,,,,1501.44
13-Aug-03,,,,1532.29
14-Aug-03,,,,1546.6
18-Aug-03,,,,1611.55
19-Aug-03,,,,1572.61
20-Aug-03,,,,1573.61
21-Aug-03,,,,1572.34
22-Aug-03,,,,1560.94
25-Aug-03,,,,1486.48
26-Aug-03,,,,1563.84
27-Aug-03,,,,1570.25
28-Aug-03,,,,1558.44
29-Aug-03,,,,1569.79
01-Sep-03,,,,1607.97
02-Sep-03,,,,1589.67
03-Sep-03,,,,1562.26
04-Sep-03,,,,1564.87
05-Sep-03,,,,1582.32
08-Sep-03,,,,1598
09-Sep-03,,,,1570.78
10-Sep-03,,,,1553.47
11-Sep-03,,,,1563.48
12-Sep-03,,,,1534.62
15-Sep-03,,,,1495.42
16-Sep-03,,,,1519.72
17-Sep-03,,,,1514.32
18-Sep-03,,,,1464.92
19-Sep-03,,,,1455.59
22-Sep-03,,,,1453.89
23-Sep-03,,,,1474.44
24-Sep-03,,,,1484.13
25-Sep-03,,,,1494.87
